"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",0.499672712172002,0.0762163239435003,6.55598021943977,8.22352344427363e-11
"yearsedu_brinjalgrwer",0.00611639689004025,0.00350807580056302,1.74351902232518,0.0815016755216486
"age_brinjalgrwer",-0.00114816306521372,0.00189029577249987,-0.607398631429676,0.543702472912151
"years_farmer",0.00217103742857044,0.00189678070910202,1.14459063093185,0.252609323835988
"opland",0.0201244435006106,0.0112719718570749,1.78535253243907,0.0744591956689232
"wealthV2",-0.00364592038387025,0.00808383290860307,-0.451013822909445,0.652061894704702
"yield_bl",-2.05147633143342e-06,5.9884854254137e-07,-3.42570146823343,0.000634158373881339
"pesticide_cost_bl",-2.21625493540426e-07,4.78527449819713e-07,-0.463140606926362,0.643348413448772
